"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","model","model_num","model_sort","looic_no_bad_k"
"1",0,0,-17564.726945989,171.871347749161,981.085477643838,29.1047097958482,35129.453891978,343.742695498322,"loo_cov_core","model5",5,31164.2743489396
"2",-7.00682747340472,5.17734699569998,-17571.7337734624,171.937499512652,987.762081937155,29.0290421208181,35143.4675469249,343.874999025304,"loo_cov","model2",2,31171.1052995632
"3",-11.497961417696,4.6097099530468,-17576.2249074067,171.990591462422,978.853412944656,29.0823351412221,35152.4498148133,343.981182924845,"loo_cov_core_naoi1","model6",6,31177.2759021393
"4",-20.7309561519647,6.32370725725874,-17585.457902141,172.242076169067,986.466991745098,29.6186906107005,35170.9158042821,344.484152338135,"loo_cov_naoi1","model3",3,31185.745893683
"5",-35.8981717180859,10.4169830663109,-17600.6251177072,172.223247304609,989.384171255261,29.4723357308821,35201.2502354144,344.446494609218,"loo_cov_lag","model4",4,31237.4656765072
"6",-73.9900363562534,13.2776294050133,-17638.7169823453,172.224072097168,948.72197253553,28.7209977763071,35277.4339646907,344.448144194336,"loo_base","model1",1,31307.4313950137
